example_portuguese_sentence,example_libras_sentence
"não posso beijar no rosto, estou com influenza.",eu beijarrosto podernão eu influenza.
"antigamente o surdo tinha pouca informação, que agora aumenta com o surgimento da closed- caption.",antigamente surdo informação pouco agora aumentar porcausa surgimento cc.
a diretoria informou que a escola vai ficar fechada amanhã.,diretoria informar amanhã casa^estudo fechado.
os alunos precisam de curso de informática.,aluno precisar curso informática.
"você não pode acusá-lo, ele é ingênuo.",você podernão 2sacusar3s elo ingênuo.
meu cachorro está com problema no estômago porque ingerir carne com veneno.,cachorro meo problema estômago ingerir carne veneno.
meu avó nasceu na inglaterra.,meo vovó nascer inglaterra.
eu tenho um amigo inglês.,eu ter amigo inglês.
meu filho sabe falar inglês.,filho meo saber falar inglês.
eu ingressei no grupo que divulga a prevenção das drogas.,eu ingressar grupo divulgar prevenção drogas.
você precisa comprar os ingressos para o teatro com antecedência.,você precisar comprar teatro ingresso antes.
"o início do filme foi ótimo e teve mais emoção, mas no final nada aconteceu.",filme início ótimo emoção final nada.
meu pai e meu tio brigaram e agora são inimigos.,meo pai brigar tio agora inimigo já.
eu detesto tomar injeção.,eu detestar tomarinjeção.
o médico não sabe injetar bem e estou preocupado.,médico sabernão injetar eu preocupado.
"coitado dele, a polícia o prendeu, mas ele é inocente.","coitado elo, políca prender elo inocente."
"ontem, comprei um desodorante inodoro para evitar a alergia.",ontem comprar desodorante ternão cheiro evitar alergia.
"não há perigo nem precisa ter medo, a borboleta é inofensiva.","borboleta, ternão perigo não precisarnão medo."
roubaram meu carro na escola e eu vou pedir à polícia para abrir um inquérito.,meo carro roubar casa^estudo eu pedir polícia inquérito.
"aquele homem de camisa verde é insano, quer suicidar-se.",aquelo homem camisa verde insano querer suicidar.
só no ano que vem irei inscrever-me para o vestibular.,eu inscrever vestibular só ano outro.
a inscrição para o vestibular fechou. perdi e fiquei triste.,inscrição vestibular fechar eu perder triste.
"o dicionário de libras tem poucos sinais, é preciso inserir mais.",dicionário libras sinal+ pouco precisar inserir mais.
eu tenho nojo dos insetos.,eu nojo baratavários.
todo policial é obrigado a mostrar a sua insígnia.,polícia todo obrigado mostrar insígnia.
as pessoas reclamaram da insignificante palestra.,pessoa reclamar palestra insignificante.
a casa da vovó fica lá no interior em um lugar insignificante.,casa vovo lá interior lugar insignificante.
mamãe insistiu para o papai comprar um carro zero quilômetro.,mãe insistir pai comprar carro 0km.
"tive insônia na madrugada de ontem, por causa da minha briga com o namorado.",ontem madrugada eu dormir conseguirnão porcausa briga namorado.
o inspetor trabalha bem.,inspetor trabalhar bem.
instalei uma memória nova no computador.,computador eu instalar memória novo.
o instinto do leão e do gato são diferentes: o leão é bravo e come pessoas; o gato não.,dentro sentimento leão gato diferente leão bravo comer pessoa gato não.
"ele instruiu o filho, mas o filho não rejeitou a orientação.","elo filho 3sinstruir3s, filho aceitarnão conselho."
um instrutor precisa ensinar bem e saber tudo sobre a libras.,instrutor precisar ensinar bem saber tudo libras.
"a diretora não aceita insultos; se insistir, ela pode expulsar.",diretoro aceitar não insulto si insistir poder expulsar.
a palestra é importante para divulgar a integração de surdos com ouvintes.,palestra importante integração surdo ouvinte divulgar.
o mercosul vai integrar a américa do sul.,mercosul integrar américadosul.
comi um bolo inteiro e foi gostoso.,bolo eu comer inteiro gostoso.
"no brasil, no período da ditadura, muitos intelectuais foram expulsos.",brasil general^obrigar pessoa pensamento^alto muito expulsar.
minha filha é muito inteligente e esperta.,meo filho inteligentemuito esperto.
"com certeza, ele teve intenção de colocar o vírus no computador.",elo intenção vírus colocar computador certeza.
é importante que os surdos do brasil tenham intercâmbio com outros países.,importante surdo brasil intercâmbio outro país.
seu trabalho é bom e interessante.,trabalho seo interessante boo!
você se interessa por um curso de informática?,você interessar curso informática?
eu tenho interesse em trabalhar na pesquisa do dicionário.,eu interesse trabalhar dicionário pesquisa.
a diretoria não gosta da interferência durante a reunião.,reunião diretoria gostarnão interferência.
não quero interferir na briga de namorados.,"briga namorado, querernão interferir."
a fábrica contratou cinco pessoas para trabalhar como interinos somente oito meses.,fábrica contratar 5 pessoa trabalhar interino somente 8 mês.
"o lado de fora da minha casa é feio, mas o interior é bonito.","casa meo fora feio, interior bonito."
"o interior é bom e tranqüilo, combina com férias.",interior boo tranqüilo combinar férias.
o ines vai organizar um encontro internacional de surdos.,ines vai organizar encontro surdo internacional.
minha colega passou mal e se internou no hospital.,meo colega mal internar hospital.
"antigamente as escola para surdos eram internatos, agora não tem mais.",antigamente casa^estudo surdo internato agora ternão.
os surdos sempre batem papo na internet.,surdo internet sempre baterpapo.
aquele homem fez uma perfeita interpretação de inglês para português.,aquelo homem interpretação inglês português perfeito.
eu interpretei em libras e somente os surdos entenderam.,eu interpretar libras só surdo entender.
"o médico precisa de um intérprete, porque não consegue entender o surdo se comunicando em libras.",médico precisar intérprete porque entendernão surdo libras.
"eu estava conversando com a professora e um aluno, sem educação, interrompeu.",eu professoro conversar aluno interromper educação ternão.
o interruptor da minha casa quebrou e eu preciso comprar um novo.,meo casa interruptor quebrar precisar comprar outro novo.
você sabe a hora do intervalo do curso de libras?,você saber curso libras intervalo hora?
"eu estava conversando com uma garota e quase estava conseguindo namorar com ela, mas você interveio e atrapalhou.",eu conversar mulher quase namorar você intervir atrapalhar.
o médico disse que preciso operar o meu intestino.,médico dizer intestino eu precisar operar.
a polícia intimou meu pai a ir à justiça amanhã.,polícia pai intimar justiça amanhã ir.
é impressionante a intrepidez do surfista com a onda enorme.,surfista intrepidez onda enorme impressionante.
o livro que conta a história dos surdos tem uma introdução um pouco complicada.,livro contar história vida surdo introdução pouco complicado.
o casal de namorados estava conversando em particular e a mãe se intrometeu e atrapalhou.,namorado elo2 conversar particular mãe intrometer atrapalhar.
a reunião de anteontem abordou um assunto inútil.,anteontem reunião assunto inútil.
o ladrão invadiu a casa do meu sobrinho e roubou tudo.,ladrão invadir casa sobrinho meo roubar tudo levar.
você não pode ter inveja daquele surdo. pare!,você podernão inveja aquelo surdo. parar!
você me inveja por causa da minha nova namorada.,você invejar eu porcausa namorado novo.
você inventou o computador? que piada!,você inventar computador? piada!
"nas férias de julho, no inverno, eu viajarei para o paraná e, lá está muito frio.",julho eu férias inverno eu viajar paraná lá friomuito.
"eu não vi e inverti a camisa, porque estava com muito sono.",eu camisa inverter nãover porque eu sonoforte.
a polícia está investigando quem roubou o cachorro.,polícia investigar qum roubar cachorro.
"o vírus da hiv é invisível, só pode ser visto ao microscópio.",virus hiv invisível só microscópio achar.
todas as terças e quintas eu sempre vou à academia para praticar ioga.,terça quinta todo eu sempre ir academia ioga.
"vou ao cinema, você quer ir junto?",eu ir cinema você quer irjunto?
"por favor, você prrecisa ir embora.",por favor você precisar irembora.
"vamos ver a reunião na associação, vamos!",ir ver reunião associação ir!
você vai mesmo viajar para o recife em janeiro?,janeiro você recife viajar vai?
já falei que hoje à noite vou à festa!,"falar já, hoje noite festa vou!"
no ano novo vou viajar para os estados unidos. vamos juntos?,anonovo eu viajar estadosunidos.ir junto?
aquele menino é meu irmão.,menino aquelo irmo meo .
"pernambuco, com a irrigação, agora produz muita uva.",pernambuco água irrigação agora uva muito.
a isca melhor para pescar rápido é a minhoca.,isca melhor minhoca pescar rápido.
você quer quebrar a janela? eu me isento de responsabilidade.,você querer janela quebrar responsabilidade eu isentar.
"eu estou preocupada com meu aluno novo, ele está sempre isolado e sem querer ficar com o grupo.",eu preocupar aluno novo sempre só 1 querernão grupo.
"por favor, me empreste o isqueiro.",porfavor emprestar isqueiro.
"antes eu queria conhecer israel, mas agora está perigoso, desisti.",antes eu quer conhecer israel agora perigoso eu desistir.
"vou mudar para israel, não sei o dia, depois aviso.",israel eu mudar sabernão dia depois 1savisar2s.
meu amigo é israelita.,amigo meo israelito.
meu novo vizinho é israelita.,vizinho novo elo israelita é.
isso é seu ou dele?,isso seo delo qual?
a família dele mora na itália.,família delo morar lá itália.
você gosta de comida italiana?,você gostar comida italiano?
o nome de meu marido começa com a letra j.,noime esposo meo começar letra j.
sua amiga já foi embora?,amigo seo irembora já ?
comprei uma jabota para dar ao meu filho.,eu comprar jabota filho meo 1sdar3s .
meu filho tem um jabuti.,filho meo ter jabuti.
meu vizinho tem pé de jabuticaba que está carregado de jabuticabas.,vizinho meo ter árvoréjabuticaba+.
não gosto de comer jaca.,jaca comer gostarnão.
"o jacaré tem dentes enormes, afiados e perigosos.",jacaré dente+ enorme afiadodente perigoso.
eu vi um jaguar na última jaula.,1sver3s jaguar último jaula.
eu vi um jaguar na última jaula.,1sver3s leão^combolinha último jaula.
jamais comerei polvo.,polvo eu comer jamais.
as férias do meu trabalho começam em janeiro.,trabalhar meo férias começar trabalhar janeiro.
"olhe! a janela está aberta, é preciso fechá-la.",olhar janela aberta fechar.
"no ceará, eu fui passear de jangada. que bom!",eu já ceará jangada passear boo!
eu estou com fome e ainda não jantei.,eu fome comer^noite sem.
tenho vontade de conhecer o japão.,eu vontade viajar lá japão.
um japonês mora vizinho à minha casa.,casa japonês morar vizinho meo.
"vi, na loja, uma jaqueta muito cara.",eu loja 1sver3s jaqueta caromuito.
o empregado cortou a grama do jardim.,empregado cortargrama jardim.
a jardim-de-infância perto de minha casa é ótimo.,jardimdeinfância perto casa meo ótimo.
você quer ir ao jardim-zoológico?,zoo querer ir ver?
você viu que a minha jarra caiu e quebrou?,você 2sver3s meo jarra coisaalongadacair quebrar?
as mangueiras do corpo de bombeiro jorram fortes jatos de água.,bombeiro mangueira jorrarjato forte.
ontem vim de avião a jato de são paulo ao rio.,ontem sp rio aviãojato rápido.
vá ver o leão na jaula do circo.,você ir<vai> ver leão jaula circo.
quer ir comigo caçar javali?,querer junto caçar javali?
tenho um jazigo que fica muito longe.,eu ter terra^coisaretangularenterrar longemuito.
ela tem jeito de conversar com o chefe e de aceitar ou não o aumento de salário.,elo jeito conversar chefe salário aumentar aceitar não.
"ele tem um jeito, assim, de bravo.",elo jeito bravo assim.
"antes do exame de sangue, você deve jejuar.",primeiro comer^sacrifício depois exame^sangue.
amanhã de manhã fique em jejum para fazer exame de sangue.,amanhã manhã comer^sacrifício ir exame^sangue.
jesus cristo é filho de deus.,jesuscristo filho deus.
eu tenho medo de andar de jet-ski.,água^moto eu medo.
o homem contou que foi andar no morro e viu uma grande jibóia. fugi com medo de que ela pudesse me comer.,homem 3scontar1s elo pessoaandarsubir morro 3sver3s jibóia. fugir medo 3scomer1s.
quer comer jiló?,querer comer jiló?
meu neto quer aprender o jiu-jitsu.,neto meo querer aprender jiujitsu.
o meu irmão nasceu em joão pessoa.,irmo meo nascer joãopessoa.
o felipe é jocoso e sabe fazer muitas piadas.,felipe jocoso elo saber piada muito.
ele me deu uma joelhada nos ovos. que dor!,eu doer ovo elo joelhada.
meu joelho está doendo muito.,meo joelho doermuito.
conheço há muito tempo este filho jogado pela mãe que eu adotei.,eu conhecer muitotempo mãe delo jogado filho delo eu adotar.
pelé é melhor jogador do mundo.,pelé jogador mundo melhor.
eu gosto de jogar cartas.,eu gostar jogarcartas.
o arroz está velho; é melhor jogar fora e fazer outro.,arroz velho melhor jogarfora fazer arroz novo.
você quer jogar futebol amanhã às 9 horas.,querer jogarfutebol amanhã manhã hora 9?
aqui não há o que fazer. você tem algum jogo?,aqui nada você ter brincadeira^vários?
"não comprei a jóia, porque estava muito cara.",eu comprar não brinco^colar^vários caromuito.
